,X1,X2,X3,X4,X5,X6,X7,X8,Sds_Armed,Anomaly_Tag
1388,0.7401,1.2655,9.2683,2.1225,1.5103,2.1908,6.8482,2.2969,1,0
1389,0.74041,1.2653,9.238,2.1228,1.3995,2.0759,6.8605,2.3298,1,0
1390,0.74011,1.2642,9.2038,2.1264,1.3119999999999998,1.9621,6.4685,2.3775,1,0
1391,0.74484,1.2709,9.1842,2.1294,1.2054,1.8513,5.8053,2.3277,1,0
1392,0.75069,1.2797,9.1865,2.1317,0.8436600000000001,1.4595,5.0776,2.299,1,0
1393,0.74941,1.2789,9.1666,2.1334,0.74041,1.2696,4.8907,2.2703,1,0
1394,0.74967,1.2788,9.1179,2.1352,0.7701100000000001,1.2656,5.4103,2.2169,1,0
1395,0.7489,1.2774,9.1114,2.136,0.79156,1.2796,6.7635,2.1898,1,0
1396,0.74916,1.2773,9.1248,2.1387,0.8746799999999999,1.3471,7.8879,2.1461,1,0
1397,0.7474,1.2753,9.1014,2.1388,0.76246,1.1937,8.5249,2.1207,1,0
1398,0.74561,1.2735,9.0842,2.1404,0.56788,0.9547700000000001,9.3366,2.1928,1,0
1399,0.7446699999999999,1.273,9.0742,2.1421,0.5254800000000001,0.9143600000000001,9.4378,2.2806,1,0
1400,0.74445,1.2755,9.0595,2.1481,0.5361,0.9823299999999999,8.8374,2.407,1,0
1401,0.75117,1.2893,9.0588,2.1503,0.72595,1.3257,7.5236,2.4493,1,0
1402,0.75208,1.2905,9.0509,2.148,0.7129,1.3559999999999999,6.5719,2.3742,1,0
1403,0.75084,1.2886,9.0442,2.1456,0.75865,1.3923,6.0779,2.2966,1,0
1404,0.75079,1.2894,9.0579,2.1427,0.83395,1.4702,6.0018,2.1628,1,0
1405,0.7518600000000001,1.2909,9.074,2.1404,0.9074,1.5351,6.8977,2.0814,1,0
1406,0.75116,1.2889,9.0169,2.1392,0.90438,1.442,7.2687,1.9535,1,0
1407,0.7530399999999999,1.2901,8.9377,2.1414,0.7368100000000001,1.1122,7.7443,1.9132,1,0
1408,0.75365,1.2903,8.8683,2.1413,0.67843,1.0264,8.7891,1.9858,1,0
1409,0.75205,1.2873,8.8373,2.1476,0.60113,0.95715,10.009,2.1917,1,0
1410,0.7466,1.2768,8.8255,2.1551,0.56917,0.8973,9.9437,2.3588,1,0
1411,0.74807,1.2743,8.772,2.153,0.60483,0.90861,8.691,2.3982,1,0
1412,0.74973,1.2754,8.7328,2.1504,0.63105,0.9547,8.5354,2.4176,1,0
1413,0.7481,1.274,8.7288,2.1535,0.62085,0.96473,8.3512,2.4012,1,0
1414,0.74515,1.272,8.7286,2.1556,0.6090300000000001,0.9848100000000001,7.8024,2.3584,1,0
1415,0.74687,1.2748,8.7004,2.154,0.70538,1.1043,7.0107,2.1983,1,0
1416,0.75298,1.2804,8.6623,2.153,0.84667,1.2566,6.3827,2.0629,1,0
1417,0.75363,1.2814,8.6062,2.1558,0.80238,1.2335,6.2271,2.0482,1,0
1418,0.75326,1.2816,8.5086,2.1625,0.7383,1.1825,5.8868,2.0984,1,0
1419,0.7548,1.2823,8.4217,2.1674,0.71667,1.1418,5.4723,2.1307,1,0
1420,0.7609100000000001,1.2885,8.3718,2.1691,0.8134600000000001,1.2247,5.0611,2.1763,1,0
